거래일자,가맹점명,금액,카테고리,설명,카드번호
2024-01-05,넷플릭스,17000,엔터테인먼트,월간구독,1234****5678
2024-01-10,스포티파이,9900,엔터테인먼트,프리미엄,1234****5678
2024-01-15,네이버플러스,4900,쇼핑,멤버십,1234****5678
2024-01-20,유튜브프리미엄,14900,엔터테인먼트,개인플랜,1234****5678
2024-02-05,넷플릭스,17000,엔터테인먼트,월간구독,1234****5678
2024-02-10,스포티파이,9900,엔터테인먼트,프리미엄,1234****5678
2024-02-15,네이버플러스,4900,쇼핑,멤버십,1234****5678
2024-02-20,유튜브프리미엄,14900,엔터테인먼트,개인플랜,1234****5678
2024-03-05,넷플릭스,17000,엔터테인먼트,월간구독,1234****5678
2024-03-10,스포티파이,9900,엔터테인먼트,프리미엄,1234****5678
2024-03-15,네이버플러스,4900,쇼핑,멤버십,1234****5678
2024-03-20,유튜브프리미엄,14900,엔터테인먼트,개인플랜,1234****5678
2024-04-05,넷플릭스,17000,엔터테인먼트,월간구독,1234****5678
2024-04-10,스포티파이,9900,엔터테인먼트,프리미엄,1234****5678
2024-04-15,네이버플러스,4900,쇼핑,멤버십,1234****5678
2024-04-20,유튜브프리미엄,14900,엔터테인먼트,개인플랜,1234****5678
2024-05-05,넷플릭스,17000,엔터테인먼트,월간구독,1234****5678
2024-05-10,스포티파이,9900,엔터테인먼트,프리미엄,1234****5678
2024-05-20,유튜브프리미엄,14900,엔터테인먼트,개인플랜,1234****5678
2024-01-25,쿠팡로켓와우,2900,쇼핑,월간멤버십,1234****5678
2024-02-25,쿠팡로켓와우,2900,쇼핑,월간멤버십,1234****5678
2024-03-25,쿠팡로켓와우,2900,쇼핑,월간멤버십,1234****5678
2024-04-25,쿠팡로켓와우,2900,쇼핑,월간멤버십,1234****5678
2024-01-30,스타벅스,5500,음료,아메리카노,1234****5678
2024-02-10,맥도날드,8900,식사,빅맥세트,1234****5678
2024-03-18,CGV,13000,엔터테인먼트,영화티켓,1234****5678
2024-04-22,교보문고,25000,도서,책구매,1234****5678